,t,u,lambda,u_begin
208,-292.3828125,(7.134050294954619e-17-2.6020852139652106e-17j),1664.5165882438303,(0.09876030464631723+0.03000011222207597j)
209,-292.34619140625,(4.0766001685454967e-17+1.5124620306172787e-17j),1664.5011854223096,(0.03321266600837757+0.01423115790321048j)
210,-292.3095703125,(1.734723475976807e-17-3.3610267347050637e-18j),1664.4857828858503,(0.00847131338214976+0.002442598510985206j)
211,-292.27294921875,(6.7220534694101275e-18-1.734723475976807e-17j),1664.4703806344446,(0.06623949639657827+0.05342036619043387j)
212,-292.236328125,(2.4069288229178198e-17+5.811323644522304e-17j),1664.4549786680846,(0.08734342991114373+0.06002426445945628j)
213,-292.19970703125,(1.8431436932253575e-18+4.9873299934333204e-17j),1664.439576986762,(0.062412536871944646+0.04937385862635943j)
214,-292.1630859375,(5.789639601072594e-17-1.3877787807814457e-17j),1664.4241755904688,(0.008946523958704168+0.06272969241906065j)
215,-292.12646484375,(2.3852447794681098e-18-2.3418766925686896e-17j),1664.408774479198,(0.01246978226558706+0.007714803703153805j)
216,-292.08984375,(5.854691731421724e-17+5.2475385148298415e-17j),1664.393373652941,(0.07740744238834768+0.041632373713361426j)
217,-292.05322265625,(5.421010862427522e-17+8.998878031629687e-17j),1664.37797311169,(0.04783261184335607+0.06504239404983204j)
218,-292.0166015625,(2.6020852139652106e-17+4.277177570455315e-17j),1664.362572855437,(0.002635368230779223+0.030385462238847406j)
219,-291.97998046875,(-2.7755575615628914e-17+1.0191500421363742e-17j),1664.3471728841744,(0.06976067031701104+0.0601629657834782j)
220,-291.943359375,(2.949029909160572e-17+9.540979117872439e-18j),1664.331773197894,(0.08171649173362805+0.0629223053709162j)
221,-291.90673828125,(-2.862293735361732e-17+5.637851296924623e-17j),1664.316373796588,(0.0037510193333398557+0.03105489891235952j)
